Date,Tailings,Chainage
2024-07-21 00:00:00,,1+600
2024-07-21 00:00:00,,1+700
2024-07-21 00:00:00,,1+750
2024-07-21 00:00:00,,1+850
2024-07-21 00:00:00,,1+900
2024-07-21 00:00:00,,1+950
2024-07-21 00:00:00,,2+000
2024-07-21 00:00:00,,2+100
2024-07-21 00:00:00,,2+150
2024-07-21 00:00:00,,2+250
2024-07-21 00:00:00,,2+300
2024-07-21 00:00:00,,2+400
2024-07-21 00:00:00,,2+450
2024-07-21 00:00:00,,2+550
2024-07-21 00:00:00,,2+600
2024-07-21 00:00:00,,2+700
2024-07-21 00:00:00,,2+750
2024-07-21 00:00:00,,2+850
2024-07-21 00:00:00,,2+900
2024-07-21 00:00:00,,3+000
2024-07-21 00:00:00,,3+050
2024-07-21 00:00:00,,3+150
2024-07-21 00:00:00,,3+200
2024-07-21 00:00:00,,3+300
2024-07-21 00:00:00,,3+350
2024-07-21 00:00:00,,3+400
2024-07-21 00:00:00,,3+500
2024-07-21 00:00:00,,3+550
2024-07-21 00:00:00,,3+650
2024-07-21 00:00:00,,3+700
2024-07-21 00:00:00,,3+800
2024-07-21 00:00:00,,3+850
2024-07-21 00:00:00,,3+950
2024-07-21 00:00:00,,4+000
2024-07-21 00:00:00,,4+100
2024-07-21 00:00:00,,4+150
2024-07-21 00:00:00,,4+200
2024-07-21 00:00:00,,4+300
2024-07-21 00:00:00,,4+350
2024-07-21 00:00:00,,4+450
2024-07-21 00:00:00,,4+500
2024-07-21 00:00:00,,4+600
2024-07-21 00:00:00,,4+650
2024-07-21 00:00:00,,4+750
2024-07-21 00:00:00,,4+800
2024-07-21 00:00:00,,4+900
2024-07-21 00:00:00,,4+950
2024-07-21 00:00:00,,5+050
2024-07-21 00:00:00,,5+100
2024-07-21 00:00:00,,5+200
2024-07-21 00:00:00,,5+250
2024-07-21 00:00:00,,5+350
2024-07-21 00:00:00,,5+400
2024-07-21 00:00:00,,5+450
2024-07-21 00:00:00,,5+500
2024-07-21 00:00:00,,5+550
2024-07-21 00:00:00,,5+600
2024-07-21 00:00:00,,5+650
2024-07-21 00:00:00,,5+700
2024-07-21 00:00:00,,5+750
2024-07-21 00:00:00,,5+800
2024-07-21 00:00:00,,5+850
2024-07-21 00:00:00,,5+900
2024-07-21 00:00:00,,5+950
2024-07-21 00:00:00,,6+000
2024-07-21 00:00:00,1145.12,Barge
2024-07-21 00:00:00,1145.12,RD2
2024-07-21 00:00:00,1149.06,RD1
2024-07-21 00:00:00,1150.074,5+300
2024-07-21 00:00:00,1150.624,5+150
2024-07-21 00:00:00,1151.007,5+000
2024-07-21 00:00:00,1151.497,4+850
2024-07-21 00:00:00,1152.073,4+700
2024-07-21 00:00:00,1152.536,4+550
2024-07-21 00:00:00,1152.802,4+400
2024-07-21 00:00:00,1153.611,4+250
2024-07-21 00:00:00,1154.245,4+050
2024-07-21 00:00:00,1154.344,0+300
2024-07-21 00:00:00,1154.415,0+450
2024-07-21 00:00:00,1154.519,0+150
2024-07-21 00:00:00,1155.092,3+900
2024-07-21 00:00:00,1155.48,0+900
2024-07-21 00:00:00,1155.651,0+600
2024-07-21 00:00:00,1155.753,0+750
2024-07-21 00:00:00,1155.841,1+200
2024-07-21 00:00:00,1155.964,3+750
2024-07-21 00:00:00,1155.98,1+050
2024-07-21 00:00:00,1156.318,2+050
2024-07-21 00:00:00,1156.94,3+600
2024-07-21 00:00:00,1156.948,1+500
2024-07-21 00:00:00,1156.992,1+800
2024-07-21 00:00:00,1157.035,1+350
2024-07-21 00:00:00,1157.501,1+650
2024-07-21 00:00:00,1157.927,3+450
2024-07-21 00:00:00,1158.386,3+250
2024-07-21 00:00:00,1158.752,3+100
2024-07-21 00:00:00,1159.906,2+950
2024-07-21 00:00:00,1160.802,2+800
2024-07-21 00:00:00,1161.124,2+650
2024-07-21 00:00:00,1161.513,2+500
2024-07-21 00:00:00,1161.922,2+350
2024-07-21 00:00:00,1162.288,2+200
2024-07-28 00:00:00,,0+000
2024-07-28 00:00:00,,0+050
2024-07-28 00:00:00,,0+100
2024-07-28 00:00:00,,0+200
2024-07-28 00:00:00,,0+250
2024-07-28 00:00:00,,0+350
2024-07-28 00:00:00,,0+400
2024-07-28 00:00:00,,0+500
2024-07-28 00:00:00,,0+550
2024-07-28 00:00:00,,0+650
2024-07-28 00:00:00,,0+700
2024-07-28 00:00:00,,0+800
2024-07-28 00:00:00,,0+850
2024-07-28 00:00:00,,0+950
2024-07-28 00:00:00,,1+000
2024-07-28 00:00:00,,1+100
2024-07-28 00:00:00,,1+150
2024-07-28 00:00:00,,1+250
2024-07-28 00:00:00,,1+300
2024-07-28 00:00:00,,1+400
2024-07-28 00:00:00,,1+450
2024-07-28 00:00:00,,1+550
2024-07-28 00:00:00,,1+600
