Date,Drillhole_USC,Average of Daily rainfall,Average of Total Head,Tailings
2014-01-04 00:00:00,DH11-10_EW rock,,1141.66025472098,1154.55
2014-01-04 00:00:00,DH11-10_EW rock,,1141.66025472098,1154.74
2014-01-04 00:00:00,DH11-10_EW rock,,1141.66025472098,1154.79
2014-01-04 00:00:00,DH11-10_EW rock,,1141.66025472098,1154.88
2014-01-04 00:00:00,DH11-10_EW rock,,1141.66025472098,1155.02
2014-01-04 00:00:00,DH11-10_EW rock,,1141.66025472098,1155.21
2014-01-04 00:00:00,DH11-10_EW rock,,1141.66025472098,1155.35
2014-01-04 00:00:00,DH11-10_EW rock,,1141.66025472098,1155.49
2014-01-04 00:00:00,DH11-10_EW rock,,1141.66025472098,1155.5
2014-01-04 00:00:00,DH11-10_EW rock,,1141.66025472098,1155.68
2014-01-04 00:00:00,DH11-10_EW rock,,1141.66025472098,1155.82
2014-01-04 00:00:00,DH11-10_EW rock,,1141.66025472098,1155.83
2014-01-04 00:00:00,DH11-10_EW rock,,1141.66025472098,1155.97
2014-01-04 00:00:00,DH11-10_EW rock,,1141.66025472098,1156.06
2014-01-04 00:00:00,DH11-10_EW rock,,1141.66025472098,1156.19
2014-01-04 00:00:00,DH11-10_EW rock,,1141.66025472098,1156.89
2014-01-04 00:00:00,DH11-10_EW rock,,1141.66025472098,1157.12
2014-01-04 00:00:00,DH11-10_EW rock,,1141.66025472098,1157.81
2014-01-04 00:00:00,DH11-10_EW rock,,1141.66025472098,1157.82
2014-01-04 00:00:00,DH11-10_EW rock,,1141.66025472098,1158.07
2014-01-04 00:00:00,DH11-10_EW rock,,1141.66025472098,1158.43
2014-01-04 00:00:00,DH11-10_EW rock,,1141.66025472098,1158.53
2014-01-04 00:00:00,DH11-10_EW rock,,1141.66025472098,1158.88
2014-01-04 00:00:00,DH11-10_EW rock,,1141.66025472098,1159.03
2014-01-04 00:00:00,DH11-10_EW rock,,1141.66025472098,1159.45
2014-01-04 00:00:00,DH11-10_EW rock,,1141.66025472098,1159.46
2014-01-04 00:00:00,DH11-10_EW rock,,1141.66025472098,1160.16
2014-01-04 00:00:00,DH11-10_EW rock,,1141.66025472098,1160.86
2014-01-04 00:00:00,DH11-10_EW rock,,1141.66025472098,1161.33
2014-01-04 00:00:00,DH11-10_EW rock,,1141.66025472098,1161.5
2014-01-04 00:00:00,DH11-10_EW rock,,1141.66025472098,1161.55
