Date,Drillhole_USC,Average of Daily rainfall,Average of Total Head
2023-07-13 16:00:00,BH20-29_CH,0.254,1142.60963338398
2023-07-13 16:00:00,BH20-29_ExWR,0.254,1142.30985733131
2023-07-13 16:00:00,BH20-29_GP-GC,0.254,1142.36723180052
2023-07-13 16:00:00,BH20-29_WR,0.254,1142.0079428984
2023-07-13 16:00:00,P3_CH,0.254,1144.8459835949
2023-07-13 17:00:00,BH20-29_CH,0.254,1142.6072300429
2023-07-13 17:00:00,BH20-29_ExWR,0.254,1142.30897117796
2023-07-13 17:00:00,BH20-29_GP-GC,0.254,1142.36624447731
2023-07-13 17:00:00,BH20-29_WR,0.254,1142.00803576476
2023-07-13 17:00:00,P3_CH,0.254,1144.84308963179
2023-07-13 18:00:00,BH20-29_CH,0.254,1142.60418580906
2023-07-13 18:00:00,BH20-29_ExWR,0.254,1142.31030040792
2023-07-13 18:00:00,BH20-29_GP-GC,0.254,1142.36761399009
2023-07-13 18:00:00,BH20-29_WR,0.254,1142.0085465297
2023-07-13 18:00:00,P3_CH,0.254,1144.84152689053
2023-07-13 19:00:00,BH20-29_CH,0.254,1142.60639688437
2023-07-13 19:00:00,BH20-29_ExWR,0.254,1142.31362348093
2023-07-13 19:00:00,BH20-29_GP-GC,0.254,1142.3704167126
2023-07-13 19:00:00,BH20-29_WR,0.254,1142.01133251893
2023-07-13 19:00:00,P3_CH,0.254,1144.84155583019
2023-07-13 20:00:00,BH20-29_CH,0.254,1142.61450415132
2023-07-13 20:00:00,BH20-29_ExWR,0.254,1142.32190345958
2023-07-13 20:00:00,BH20-29_GP-GC,0.254,1142.37815603932
2023-07-13 20:00:00,BH20-29_WR,0.254,1142.01801888356
2023-07-13 20:00:00,P3_CH,0.254,1144.84369736428
2023-07-13 21:00:00,BH20-29_CH,0.254,1142.62033624745
2023-07-13 21:00:00,BH20-29_ExWR,0.254,1142.33134649191
2023-07-13 21:00:00,BH20-29_GP-GC,0.254,1142.38732855702
2023-07-13 21:00:00,BH20-29_WR,0.254,1142.02637682051
2023-07-13 21:00:00,P3_CH,0.254,1144.8466202664
2023-07-13 22:00:00,BH20-29_CH,0.254,1142.62238709266
2023-07-13 22:00:00,BH20-29_ExWR,0.254,1142.33486339287
2023-07-13 22:00:00,BH20-29_GP-GC,0.254,1142.39013126694
2023-07-13 22:00:00,BH20-29_WR,0.254,1142.0311284531
2023-07-13 22:00:00,P3_CH,0.254,1144.84688072289
2023-07-13 23:00:00,BH20-29_CH,0.254,1142.62520700332
2023-07-13 23:00:00,BH20-29_ExWR,0.254,1142.34018027684
2023-07-13 23:00:00,BH20-29_GP-GC,0.254,1142.39500415605
2023-07-13 23:00:00,BH20-29_WR,0.254,1142.0363598844
2023-07-13 23:00:00,P3_CH,0.254,1144.84818300496
2023-07-14 00:00:00,BH20-29_CH,0,1142.62847553394
2023-07-14 00:00:00,BH20-29_ExWR,0,1142.34541407782
2023-07-14 00:00:00,BH20-29_GP-GC,0,1142.40003628423
2023-07-14 00:00:00,BH20-29_WR,0,1142.0415913075
2023-07-14 00:00:00,P3_CH,0,1144.84922483021
2023-07-14 01:00:00,BH20-29_CH,0,1142.63174406221
2023-07-14 01:00:00,BH20-29_ExWR,0,1142.34890327479
2023-07-14 01:00:00,BH20-29_GP-GC,0,1142.4028708349
2023-07-14 01:00:00,BH20-29_WR,0,1142.04569286129
2023-07-14 01:00:00,P3_CH,0,1144.84965892395
2023-07-14 02:00:00,BH20-29_CH,0,1142.65558502082
2023-07-14 02:00:00,BH20-29_ExWR,0,1142.35604781179
2023-07-14 02:00:00,BH20-29_GP-GC,0,1142.41010052327
2023-07-14 02:00:00,BH20-29_WR,0,1142.05189935385
2023-07-14 02:00:00,P3_CH,0,1144.8524371224
2023-07-14 03:00:00,BH20-29_CH,0,1142.65298943865
2023-07-14 03:00:00,BH20-29_ExWR,0,1142.36258311389
2023-07-14 03:00:00,BH20-29_GP-GC,0,1142.41643843411
2023-07-14 03:00:00,BH20-29_WR,0,1142.05850824968
2023-07-14 03:00:00,P3_CH,0,1144.85486804389
2023-07-14 04:00:00,BH20-29_CH,0,1142.65173971337
2023-07-14 04:00:00,BH20-29_ExWR,0,1142.36681997796
2023-07-14 04:00:00,BH20-29_GP-GC,0,1142.41997364673
2023-07-14 04:00:00,BH20-29_WR,0,1142.06327531395
2023-07-14 04:00:00,P3_CH,0,1144.85605456437
2023-07-14 05:00:00,BH20-29_CH,0,1142.66029551801
2023-07-14 05:00:00,BH20-29_ExWR,0,1142.37390910028
2023-07-14 05:00:00,BH20-29_GP-GC,0,1142.42704406343
2023-07-14 05:00:00,BH20-29_WR,0,1142.06972941284
2023-07-14 05:00:00,P3_CH,0,1144.85851442237
2023-07-14 06:00:00,BH20-29_CH,0,1142.65744358492
2023-07-14 06:00:00,BH20-29_ExWR,0,1142.37839517923
2023-07-14 06:00:00,BH20-29_GP-GC,0,1142.4309296029
2023-07-14 06:00:00,BH20-29_WR,0,1142.07466671267
2023-07-14 06:00:00,P3_CH,0,1144.8601060941
2023-07-14 07:00:00,BH20-29_CH,0,1142.65968667851
2023-07-14 07:00:00,BH20-29_ExWR,0,1142.38351816466
2023-07-14 07:00:00,BH20-29_GP-GC,0,1142.4357069008
2023-07-14 07:00:00,BH20-29_WR,0,1142.07971234694
2023-07-14 07:00:00,P3_CH,0,1144.86224761471
2023-07-14 08:00:00,BH20-29_CH,0,1142.66144910841
2023-07-14 08:00:00,BH20-29_ExWR,0,1142.38772731552
2023-07-14 08:00:00,BH20-29_GP-GC,0,1142.43946503816
2023-07-14 08:00:00,BH20-29_WR,0,1142.08392219546
2023-07-14 08:00:00,P3_CH,0,1144.86424443657
2023-07-14 09:00:00,BH20-29_CH,0,1142.67699050615
2023-07-14 09:00:00,BH20-29_ExWR,0,1142.39049649138
2023-07-14 09:00:00,BH20-29_GP-GC,0,1142.44182183452
2023-07-14 09:00:00,BH20-29_WR,0,1142.08704862365
2023-07-14 09:00:00,P3_CH,0,1144.86566246867
2023-07-14 10:00:00,BH20-29_CH,0,1142.66446125976
2023-07-14 10:00:00,BH20-29_ExWR,0,1142.39005342336
2023-07-14 10:00:00,BH20-29_GP-GC,0,1142.44077083089
2023-07-14 10:00:00,BH20-29_WR,0,1142.08755937649
2023-07-14 10:00:00,P3_CH,0,1144.86563352925
2023-07-14 11:00:00,BH20-29_CH,0,1142.66228225686
2023-07-14 11:00:00,BH20-29_ExWR,0,1142.38944420477
2023-07-14 11:00:00,BH20-29_GP-GC,0,1142.44007016167
2023-07-14 11:00:00,BH20-29_WR,0,1142.08746651234
2023-07-14 11:00:00,P3_CH,0,1144.86554671098
